source,safe_source,heading,type
Agency for Toxic Substances and Disease Registry (ATSDR),Agency for Toxic Substances and Disease Registry (ATSDR),Hazards Summary,Compound
Agency for Toxic Substances and Disease Registry (ATSDR),Agency for Toxic Substances and Disease Registry (ATSDR),Record Description,Compound
Agency for Toxic Substances and Disease Registry (ATSDR),Agency for Toxic Substances and Disease Registry (ATSDR),Target Organs,Compound
Agency for Toxic Substances and Disease Registry (ATSDR),Agency for Toxic Substances and Disease Registry (ATSDR),Toxicological Information,Compound
Agency for Toxic Substances and Disease Registry (ATSDR),Agency for Toxic Substances and Disease Registry (ATSDR),Use Classification,Compound
Alliance of Genome Resources,Alliance of Genome Resources,Alliance Gene ID,Gene
Alliance of Genome Resources,Alliance of Genome Resources,Record Description,Gene
Athena Minerals,Athena Minerals,Minerals,Compound
"Atomic Mass Data Center (AMDC), International Atomic Energy Agency (IAEA)","Atomic Mass Data Center (AMDC), International Atomic Energy Agency (IAEA)","Atomic Mass, Half Life, and Decay",Element
Australian Industrial Chemicals Introduction Scheme (AICIS),Australian Industrial Chemicals Introduction Scheme (AICIS),CAS,Compound
Australian Industrial Chemicals Introduction Scheme (AICIS),Australian Industrial Chemicals Introduction Scheme (AICIS),Molecular Formula,Compound
Australian Industrial Chemicals Introduction Scheme (AICIS),Australian Industrial Chemicals Introduction Scheme (AICIS),Other Safety Information,Compound
Australian Industrial Chemicals Introduction Scheme (AICIS),Australian Industrial Chemicals Introduction Scheme (AICIS),Regulatory Information,Compound
"Baker Lab, Chemistry Department, The University of North Carolina at Chapel Hill","Baker Lab, Chemistry Department, The University of North Carolina at Chapel Hill",Chemical Classes,Compound
"Baker Lab, Chemistry Department, The University of North Carolina at Chapel Hill","Baker Lab, Chemistry Department, The University of North Carolina at Chapel Hill",Collision Cross Section,Compound
BindingDB,BindingDB,Chemical-Gene Interactions,Gene
BindingDB,BindingDB,Chemical-Protein Interactions,Protein
BindingDB,BindingDB,Chemical-Target Interactions,Compound
BindingDB,BindingDB,Chemical-Target Interactions,Taxonomy
BioAssay Research Database (BARD),BioAssay Research Database (BARD),BioAssay Annotations,Assay
BioGRID,BioGRID,Interactions,Gene
BioGRID,BioGRID,Interactions,Protein
BioGRID,BioGRID,Target Interactions,Taxonomy
BRENDA: Enzyme Functional Data,BRENDA_ Enzyme Functional Data,BRENDA EC Number,Protein
Burnham Center for Chemical Genomics,Burnham Center for Chemical Genomics,Solubility,Compound
CAMEO Chemicals,CAMEO Chemicals,Air and Water Reactions,Compound
CAMEO Chemicals,CAMEO Chemicals,Autoignition Temperature,Compound
CAMEO Chemicals,CAMEO Chemicals,Boiling Point,Compound
CAMEO Chemicals,CAMEO Chemicals,CAS,Compound
CAMEO Chemicals,CAMEO Chemicals,DOT Label,Compound
CAMEO Chemicals,CAMEO Chemicals,Density,Compound
CAMEO Chemicals,CAMEO Chemicals,Fire Fighting,Compound
CAMEO Chemicals,CAMEO Chemicals,Fire Hazards,Compound
CAMEO Chemicals,CAMEO Chemicals,First Aid,Compound
CAMEO Chemicals,CAMEO Chemicals,Flash Point,Compound
CAMEO Chemicals,CAMEO Chemicals,Health Hazards,Compound
CAMEO Chemicals,CAMEO Chemicals,Immediately Dangerous to Life or Health (IDLH),Compound
CAMEO Chemicals,CAMEO Chemicals,Isolation and Evacuation,Compound
CAMEO Chemicals,CAMEO Chemicals,Lower Explosive Limit (LEL),Compound
CAMEO Chemicals,CAMEO Chemicals,Melting Point,Compound
CAMEO Chemicals,CAMEO Chemicals,Molecular Formula,Compound
CAMEO Chemicals,CAMEO Chemicals,Nonfire Spill Response,Compound
CAMEO Chemicals,CAMEO Chemicals,Personal Protective Equipment (PPE),Compound
CAMEO Chemicals,CAMEO Chemicals,Physical Description,Compound
CAMEO Chemicals,CAMEO Chemicals,Reactive Group,Compound
CAMEO Chemicals,CAMEO Chemicals,Reactivity Alerts,Compound
CAMEO Chemicals,CAMEO Chemicals,Reactivity Profile,Compound
CAMEO Chemicals,CAMEO Chemicals,Record Description,Compound
CAMEO Chemicals,CAMEO Chemicals,Solubility,Compound
CAMEO Chemicals,CAMEO Chemicals,UN Number,Compound
CAMEO Chemicals,CAMEO Chemicals,Upper Explosive Limit (UEL),Compound
CAMEO Chemicals,CAMEO Chemicals,Vapor Density,Compound
CAMEO Chemicals,CAMEO Chemicals,Vapor Pressure,Compound
CAS Common Chemistry,CAS Common Chemistry,CAS,Compound
CAS Common Chemistry,CAS Common Chemistry,Related CAS,Compound
Catalogue of Life (COL),Catalogue of Life (COL),COL ID,Taxonomy
Catalogue of Life (COL),Catalogue of Life (COL),Synonyms,Taxonomy
CCSbase,CCSbase,Collision Cross Section,Compound
Cell Line Ontology (CLO),Cell Line Ontology (CLO),Cell Line Ontology ID,Cell
Cell Ontology (CL),Cell Ontology (CL),Cell Ontology ID,Cell
ChEBI,ChEBI,ChEBI ID,Compound
ChEBI,ChEBI,Record Description,Compound
ChEMBL,ChEMBL,BioAssay Annotations,Assay
ChEMBL,ChEMBL,Biochemical Reactions,Gene
ChEMBL,ChEMBL,Biochemical Reactions,Protein
ChEMBL,ChEMBL,Cell Line Ontology ID,Cell
ChEMBL,ChEMBL,Cell Ontology ID,Cell
ChEMBL,ChEMBL,Cellosaurus ID,Cell
ChEMBL,ChEMBL,ChEMBL Cell Line ID,Cell
ChEMBL,ChEMBL,ChEMBL ID,Compound
ChEMBL,ChEMBL,ChEMBL Target ID,Protein
ChEMBL,ChEMBL,Chemical-Gene Interactions,Gene
ChEMBL,ChEMBL,Chemical-Protein Interactions,Protein
ChEMBL,ChEMBL,Chemical-Target Interactions,Compound
ChEMBL,ChEMBL,Dissociation Constants,Compound
ChEMBL,ChEMBL,Experimental Factor Ontology ID,Cell
ChEMBL,ChEMBL,LINCS ID,Cell
ChEMBL,ChEMBL,Transformations,Compound
Chemical Probes Portal,Chemical Probes Portal,Chemical-Gene Interactions,Gene
Chemical Probes Portal,Chemical Probes Portal,Chemical-Protein Interactions,Protein
Chemical Probes Portal,Chemical Probes Portal,Chemical-Target Interactions,Compound
Chemical Probes Portal,Chemical Probes Portal,Chemical-Target Interactions,Taxonomy
ChemIDplus,ChemIDplus,Acute Effects,Compound
ChemIDplus,ChemIDplus,CAS,Compound
ChemIDplus,ChemIDplus,Classification Codes,Compound
ChemIDplus,ChemIDplus,Deprecated CAS,Compound
ChemIDplus,ChemIDplus,NLM Resources (File Locators),Compound
ChemIDplus,ChemIDplus,Names and Synonyms,Compound
ChemIDplus,ChemIDplus,Other Resources (Internet Locators),Compound
ChemIDplus,ChemIDplus,Regulatory Agencies (Superlist Locators),Compound
ChemIDplus,ChemIDplus,Related CAS,Compound
ChemIDplus,ChemIDplus,Substance Title,Compound
ChemIDplus,ChemIDplus,Superlist Classification Codes,Compound
ClinicalTrials.gov,ClinicalTrials.gov,ClinicalTrials.gov,Compound
Comparative Toxicogenomics Database (CTD),Comparative Toxicogenomics Database (CTD),Associated Disorders and Diseases,Compound
Comparative Toxicogenomics Database (CTD),Comparative Toxicogenomics Database (CTD),Chemical-Gene Interactions,Gene
Comparative Toxicogenomics Database (CTD),Comparative Toxicogenomics Database (CTD),Chemical-Target Interactions,Compound
Comparative Toxicogenomics Database (CTD),Comparative Toxicogenomics Database (CTD),Gene-Disease Associations,Gene
Consumer Product Information Database (CPID),Consumer Product Information Database (CPID),Household Products,Compound
Cosmetic Ingredient Review (CIR),Cosmetic Ingredient Review (CIR),Cosmetics,Compound
Cosmetic Ingredient Review (CIR),Cosmetic Ingredient Review (CIR),Uses,Compound
COVID-19 Disease Map,COVID-19 Disease Map,Creators,Pathway
COVID-19 Disease Map,COVID-19 Disease Map,Diagram,Pathway
Crystallography Open Database (COD),Crystallography Open Database (COD),Associated Article,Compound
Crystallography Open Database (COD),Crystallography Open Database (COD),COD Number,Compound
Crystallography Open Database (COD),Crystallography Open Database (COD),Crystal Structure Data,Compound
DailyMed,DailyMed,Drug Labels,Compound
Database of Interacting Proteins (DIP),Database of Interacting Proteins (DIP),Interactions,Gene
Database of Interacting Proteins (DIP),Database of Interacting Proteins (DIP),Protein-Protein Interactions,Protein
Database of Interacting Proteins (DIP),Database of Interacting Proteins (DIP),Target Interactions,Taxonomy
Dependency Map (DepMap),Dependency Map (DepMap),Cell Lines,Gene
Dependency Map (DepMap),Dependency Map (DepMap),Cellosaurus ID,Cell
Dependency Map (DepMap),Dependency Map (DepMap),DepMap ID,Cell
Dependency Map (DepMap),Dependency Map (DepMap),Genes,Cell
"Drug Database, Clinicalinfo.hiv.gov","Drug Database, Clinicalinfo.hiv.gov",HIV/AIDS and Opportunistic Infection Drugs,Compound
"Drug Database, Clinicalinfo.hiv.gov","Drug Database, Clinicalinfo.hiv.gov",Record Description,Compound
Drug Enforcement Administration (DEA),Drug Enforcement Administration (DEA),DEA Code Number,Compound
Drug Enforcement Administration (DEA),Drug Enforcement Administration (DEA),DEA Controlled Substances,Compound
Drug Enforcement Administration (DEA),Drug Enforcement Administration (DEA),DEA Drug Facts,Compound
Drug Enforcement Administration (DEA),Drug Enforcement Administration (DEA),DEA Drug and Chemical Information,Compound
Drug Enforcement Administration (DEA),Drug Enforcement Administration (DEA),DEA Listed Chemicals,Compound
Drug Enforcement Administration (DEA),Drug Enforcement Administration (DEA),Record Description,Compound
Drug Enforcement Administration (DEA),Drug Enforcement Administration (DEA),Regulatory Information,Compound
Drug Gene Interaction database (DGIdb),Drug Gene Interaction database (DGIdb),Chemical-Gene Interactions,Gene
Drug Gene Interaction database (DGIdb),Drug Gene Interaction database (DGIdb),Chemical-Target Interactions,Compound
Drug Induced Liver Injury Rank (DILIrank) Dataset,Drug Induced Liver Injury Rank (DILIrank) Dataset,Drug Induced Liver Injury,Compound
DrugBank,DrugBank,"Absorption, Distribution and Excretion",Compound
DrugBank,DrugBank,Biological Half-Life,Compound
DrugBank,DrugBank,Boiling Point,Compound
DrugBank,DrugBank,CAS,Compound
DrugBank,DrugBank,Caco2 Permeability,Compound
DrugBank,DrugBank,Chemical-Gene Interactions,Gene
DrugBank,DrugBank,Chemical-Protein Interactions,Protein
DrugBank,DrugBank,Chemical-Target Interactions,Compound
DrugBank,DrugBank,Dissociation Constants,Compound
DrugBank,DrugBank,Drug Indication,Compound
DrugBank,DrugBank,Drug-Drug Interactions,Compound
DrugBank,DrugBank,Drug-Food Interactions,Compound
DrugBank,DrugBank,DrugBank ID,Compound
DrugBank,DrugBank,DrugBank Target ID,Protein
DrugBank,DrugBank,Hydrophobicity,Compound
DrugBank,DrugBank,Isoelectric Point,Compound
DrugBank,DrugBank,LogP,Compound
DrugBank,DrugBank,LogS,Compound
DrugBank,DrugBank,Mechanism of Action,Compound
DrugBank,DrugBank,Melting Point,Compound
DrugBank,DrugBank,Metabolism/Metabolites,Compound
DrugBank,DrugBank,Patents,Compound
DrugBank,DrugBank,Pharmacodynamics,Compound
DrugBank,DrugBank,Protein Binding,Compound
DrugBank,DrugBank,Record Description,Compound
DrugBank,DrugBank,Solubility,Compound
Drugs and Lactation Database (LactMed),Drugs and Lactation Database (LactMed),Effects During Pregnancy and Lactation,Compound
Drugs@FDA,Drugs@FDA,FDA Approved Drugs,Compound
Drugs@FDA,Drugs@FDA,Human Drugs,Compound
DTP/NCI,DTP_NCI,CAS,Compound
DTP/NCI,DTP_NCI,NSC Number,Compound
E. coli Metabolome Database (ECMDB),E. coli Metabolome Database (ECMDB),Metabolites,Taxonomy
E. coli Metabolome Database (ECMDB),E. coli Metabolome Database (ECMDB),Record Description,Compound
E. coli Metabolome Database (ECMDB),E. coli Metabolome Database (ECMDB),Taxonomy,Compound
"ECI Group, LCSB, University of Luxembourg","ECI Group, LCSB, University of Luxembourg",Metabolites,Taxonomy
"ECI Group, LCSB, University of Luxembourg","ECI Group, LCSB, University of Luxembourg",Taxonomy,Compound
Emergency Response Guidebook (ERG),Emergency Response Guidebook (ERG),Accidental Release Measures,Compound
Emergency Response Guidebook (ERG),Emergency Response Guidebook (ERG),Emergency Response Planning Guidelines,Compound
Emergency Response Guidebook (ERG),Emergency Response Guidebook (ERG),Exposure Control and Personal Protection,Compound
Emergency Response Guidebook (ERG),Emergency Response Guidebook (ERG),Fire Hazards,Compound
Emergency Response Guidebook (ERG),Emergency Response Guidebook (ERG),First Aid,Compound
Emergency Response Guidebook (ERG),Emergency Response Guidebook (ERG),Hazards Identification,Compound
Emergency Response Guidebook (ERG),Emergency Response Guidebook (ERG),Health Hazards,Compound
Emergency Response Guidebook (ERG),Emergency Response Guidebook (ERG),Isolation and Evacuation,Compound
Emergency Response Guidebook (ERG),Emergency Response Guidebook (ERG),Toxic-by-Inhalation (TIH) Gas,Compound
Emergency Response Guidebook (ERG),Emergency Response Guidebook (ERG),UN Number,Compound
Encyclopedia of Life (EOL),Encyclopedia of Life (EOL),EOL Page ID,Taxonomy
EPA Acute Exposure Guideline Levels (AEGLs),EPA Acute Exposure Guideline Levels (AEGLs),AEGLs Notes,Compound
EPA Acute Exposure Guideline Levels (AEGLs),EPA Acute Exposure Guideline Levels (AEGLs),AEGLs Table,Compound
EPA Acute Exposure Guideline Levels (AEGLs),EPA Acute Exposure Guideline Levels (AEGLs),Acute Exposure Guideline Levels (AEGLs),Compound
EPA Acute Exposure Guideline Levels (AEGLs),EPA Acute Exposure Guideline Levels (AEGLs),CAS,Compound
EPA Air Toxics,EPA Air Toxics,Hazards Summary,Compound
EPA Air Toxics,EPA Air Toxics,Record Description,Compound
EPA Air Toxics,EPA Air Toxics,Use Classification,Compound
EPA Air Toxics,EPA Air Toxics,Uses,Compound
EPA Chemical and Products Database (CPDat),EPA Chemical and Products Database (CPDat),Uses,Compound
